Id,Expected
0,0
1,1
2,1
3,1
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,1
17,0
18,1
19,0
20,1
21,1
22,0
23,1
24,1
25,1
26,0
27,1
28,1
29,1
30,0
31,1
32,0
33,1
34,0
35,1
36,0
37,0
38,0
39,0
40,1
41,0
42,1
43,0
44,0
45,1
46,0
47,1
48,1
49,0
50,0
51,1
52,0
53,0
54,1
55,1
56,1
57,1
58,0
59,0
60,0
61,1
62,0
63,1
64,0
65,0
66,0
67,0
68,0
69,1
70,1
71,0
72,0
73,1
74,0
75,0
76,1
77,1
78,1
79,1
80,0
81,0
82,0
83,0
84,1
85,0
86,1
87,1
88,0
89,1
90,0
91,1
92,1
93,0
94,0
95,1
96,1
97,0
98,1
99,0
100,0
101,1
102,1
103,0
104,0
105,1
106,0
107,0
108,0
109,1
110,0
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,0
119,0
120,0
121,0
122,0
123,0
124,1
125,0
126,0
127,0
128,0
129,0
130,0
131,1
132,1
133,1
134,0
135,0
136,0
137,1
138,0
139,0
140,0
141,0
142,0
143,0
144,1
145,1
146,1
147,0
148,0
149,1
150,0
151,0
152,0
153,0
154,0
155,0
156,1
157,1
158,0
159,0
160,0
161,0
162,0
163,0
164,1
165,0
166,0
167,0
168,1
169,0
170,0
171,0
172,0
173,1
174,0
175,0
176,1
177,1
178,1
179,1
180,0
181,1
182,0
183,0
184,1
185,0
186,0
187,0
188,1
189,1
190,1
191,0
192,1
193,1
194,0
195,1
196,1
197,1
198,1
199,0
200,0
201,0
202,1
203,0
204,0
205,0
206,1
207,0
208,0
209,1
210,0
211,1
212,0
213,0
214,1
215,0
216,0
217,1
218,0
219,1
220,0
221,0
222,1
223,1
224,0
225,0
226,1
227,0
228,0
229,0
230,1
231,0
232,0
233,1
234,1
235,1
236,0
237,0
238,0
239,0
240,0
241,1
242,1
243,0
244,1
245,1
246,1
247,1
248,1
249,0
250,1
251,1
252,1
253,0
254,0
255,1
256,0
257,0
258,0
259,1
260,0
261,0
262,0
263,0
264,0
265,1
266,0
267,0
268,1
269,0
270,1
271,0
272,1
273,0
274,0
275,1
276,0
277,0
278,0
279,0
280,0
281,0
282,1
283,0
284,1
285,0
286,0
287,1
288,0
289,0
290,1
291,0
292,0
293,1
294,1
295,1
296,0
297,1
298,0
299,1
300,0
301,0
302,0
303,0
304,1
305,0
306,0
307,1
308,0
309,1
310,1
311,0
312,1
313,0
314,0
315,0
316,0
317,1
318,0
319,0
320,0
321,0
322,0
323,1
324,0
325,1
326,0
327,0
328,0
329,0
330,1
331,1
332,0
333,0
334,0
335,1
336,0
337,1
338,1
339,0
340,0
341,0
342,0
343,0
344,1
345,0
346,1
347,0
348,1
349,0
350,0
351,0
352,1
353,1
354,1
355,0
356,0
357,1
358,1
359,1
360,1
361,1
362,1
363,1
364,0
365,1
366,0
367,0
368,0
369,0
370,0
371,1
372,0
373,0
374,1
375,0
376,1
377,0
378,0
379,0
380,0
381,0
382,0
383,1
384,1
385,0
386,0
387,0
388,0
389,1
390,0
391,1
392,1
393,0
394,1
395,0
396,0
397,0
398,0
399,0
400,1
401,1
402,0
403,1
404,0
405,1
406,0
407,0
408,1
409,0
410,0
411,0
412,0
413,1
414,0
415,0
416,1
417,0
418,1
419,0
420,0
421,0
422,1
423,1
424,0
425,0
426,1
427,0
428,1
429,0
430,0
431,1
432,1
433,0
434,0
435,0
436,1
437,0
438,1
439,1
440,0
441,1
442,0
443,0
444,0
445,0
446,0
447,0
448,1
449,0
450,0
451,0
452,1
453,0
454,1
455,1
456,0
457,0
458,1
459,0
460,0
461,0
462,0
463,0
464,0
465,1
466,0
467,1
468,0
469,1
470,1
471,1
472,0
473,0
474,1
475,1
476,1
477,0
478,0
479,1
480,0
481,1
482,0
483,1
484,0
485,0
486,1
487,0
488,1
489,0
490,0
491,1
492,0
493,1
494,0
495,0
496,0
497,0
498,0
499,0
500,1
501,1
502,0
503,1
504,0
505,0
506,0
507,1
508,0
509,1
510,1
511,0
512,0
513,0
514,0
515,0
516,0
517,1
518,1
519,0
520,1
521,0
522,1
523,1
524,1
525,0
526,1
527,0
528,0
529,0
530,0
531,1
532,0
533,1
534,0
535,1
536,1
537,0
538,0
539,1
540,1
541,1
542,0
543,0
544,0
545,1
546,0
547,1
548,0
549,1
550,1
551,1
552,0
553,0
554,1
555,0
556,0
557,0
558,0
559,0
560,0
561,0
562,0
563,0
564,0
565,1
566,0
567,1
568,0
569,0
570,0
571,0
572,0
573,0
574,1
575,0
576,1
577,0
578,0
579,0
580,0
581,0
582,0
583,0
584,0
585,0
586,0
587,0
588,1
589,1
590,0
591,0
592,1
593,1
594,1
595,1
596,0
597,1
598,0
599,1
600,1
601,0
602,0
603,0
604,0
605,1
606,1
607,1
608,0
609,0
610,0
611,1
612,0
613,0
614,0
615,1
616,1
617,1
618,1
619,0
620,1
621,0
622,0
623,1
624,1
625,0
626,0
627,0
628,1
629,0
630,1
631,0
632,0
633,0
634,1
635,1
636,1
637,0
638,1
639,0
640,0
641,0
642,0
643,0
644,0
645,0
646,0
647,0
648,0
649,1
650,0
651,0
652,0
653,0
654,0
655,0
656,0
657,1
658,0
659,0
660,0
661,1
662,1
663,1
664,0
665,0
666,0
667,0
668,1
669,0
670,0
671,1
672,0
673,0
674,0
675,0
676,1
677,0
678,1
679,0
680,1
681,1
682,0
683,0
684,1
685,0
686,0
687,1
688,1
689,0
690,0
691,0
692,0
693,0
694,0
695,0
696,1
697,1
698,0
699,0
700,1
701,0
702,0
703,0
704,1
705,1
706,1
707,0
708,0
709,0
710,0
711,0
712,1
713,0
714,0
715,1
716,0
717,0
718,0
719,0
720,0
721,1
722,1
723,1
724,0
725,1
726,0
727,0
728,0
729,0
730,1
731,1
732,1
733,0
734,1
735,1
736,1
737,0
738,1
739,1
740,1
741,0
742,0
743,1
744,0
745,0
746,1
747,1
748,1
749,1
750,1
751,1
752,0
753,1
754,0
755,0
756,0
757,0
758,0
759,1
760,1
761,1
762,0
763,0
764,1
765,0
766,0
767,0
768,0
769,0
770,0
771,1
772,1
773,0
774,0
775,1
776,0
777,0
778,0
779,0
780,0
781,1
782,0
783,0
784,0
785,1
786,0
787,1
788,0
789,0
790,0
791,0
792,1
793,0
794,0
795,0
796,0
797,0
798,0
799,0
800,0
801,0
802,1
803,1
804,0
805,0
806,0
807,0
808,0
809,1
810,0
811,0
812,0
813,0
814,0
815,1
816,0
817,0
818,1
819,0
820,1
821,0
822,1
823,1
824,0
825,1
826,1
827,0
828,0
829,1
830,1
831,0
832,1
833,1
834,1
835,0
836,1
837,0
838,1
839,0
840,0
841,0
842,0
843,0
844,0
845,0
846,0
847,0
848,0
849,0
850,0
851,0
852,0
853,0
854,0
855,1
856,1
857,1
858,0
859,0
860,1
861,1
862,1
863,1
864,0
865,0
866,0
867,0
868,0
869,1
870,1
871,0
872,0
873,0
874,0
875,0
876,1
877,1
878,0
879,0
880,1
881,1
882,0
883,1
884,0
885,0
886,1
887,0
888,1
889,0
890,1
891,0
892,1
893,0
894,0
895,0
896,1
897,0
898,1
899,1
900,0
901,0
902,0
903,0
904,1
905,1
906,0
907,1
908,0
909,1
910,1
911,1
912,0
913,1
914,0
915,0
916,0
917,0
918,1
919,0
920,1
921,0
922,1
923,0
924,0
925,0
926,0
927,0
928,1
929,0
930,1
931,1
932,0
933,1
934,0
935,1
936,0
937,1
938,1
939,0
940,0
941,0
942,0
943,0
944,0
945,0
946,1
947,0
948,0
949,1
950,0
951,0
952,1
953,0
954,0
955,1
956,1
957,0
958,0
959,1
960,1
961,1
962,1
963,0
964,1
965,0
966,0
967,1
968,0
969,0
970,1
971,1
972,0
973,1
974,1
975,0
976,0
977,0
978,1
979,1
980,0
981,1
982,1
983,0
984,0
985,1
986,0
987,0
988,1
989,0
990,0
991,1
992,1
993,0
994,0
995,0
996,0
997,0
998,1
999,1
1000,0
1001,1
1002,0
1003,0
1004,0
1005,1
1006,0
1007,0
1008,0
1009,0
1010,0
1011,0
1012,0
1013,0
1014,1
1015,0
1016,1
1017,0
1018,0
1019,0
1020,0
1021,0
1022,1
1023,1
1024,0
1025,0
1026,1
1027,1
1028,0
1029,0
1030,0
1031,0
1032,0
1033,0
1034,0
1035,0
1036,1
1037,1
1038,0
1039,1
1040,1
1041,1
1042,0
1043,0
1044,1
1045,1
1046,0
1047,0
1048,1
1049,0
1050,0
1051,1
1052,0
1053,0
1054,0
1055,1
1056,1
1057,0
1058,0
1059,1
1060,1
